codigo,descripcion,uvr1,uvr2,uvr3,valor_facturar_nivel1,valor_facturar_nivel2,valor_facturar_nivel3,anestesia_nivel1,anestesia_nivel2,anestesia_nivel3
383320," SALA ESPECIAL, ADULTOS Y NINOS; INCLUYE ATENCIÓN EN INCUBADORA DE RECIÉN NACIDOS. INSTITUCIONES DE TERCER NIVEL",0,0,22.73,0.0,0.0,152.291,,,
383410,CUIDADO INTERMEDIO. INSTITUCIONES DE SEGUNDO Y TERCER NIVEL,0,26.74,26.74,0.0,179.158,179.158,,,
383421,CUIDADO INTENSIVO. INSTITUCIONES DE SEGUNDO Y TERCER NIVEL,0,38.22,38.22,0.0,256.074,256.074,,,
383710,CUBÍCULO DE EMERGENCIA  INSTITUCIONES DE PRIMER NIVEL,2.26,0,0,15.142,0.0,0.0,,,
383721,CUBÍCULO DE EMERGENCIA. INSTITUCIONES DE SEGUNDO NIVEL,0,2.83,0,0.0,18.961000000000002,0.0,,,
383733,CUBÍCULO DE EMRGENCIA.  INSTITUCIONES DE TERCER NIVEL,0,0,3.6,0.0,0.0,24.12,,,
383735,SALA DE OBSERVACIÓN  INSTITUCIONES DE PRIMER NIVEL,4.1,0,0,27.47,0.0,0.0,,,
383736,SALA DE OBSERVACIÓN  INSTITUCIONES DE SEGUNDO NIVEL,0,4.51,0,0.0,30.217,0.0,,,
383737,SALA DE OBSERVACIÓN  INSTITUCIONES DE TERCER NIVEL,0,0,5.41,0.0,0.0,36.247,,,
394010,HASTA15MIN. INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,6.26,6.26,0,41.942,41.942,0.0,,,
394021,DESDE 16 HASTA 30 MINUTOS INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,8.17,8.17,0,54.739000000000004,54.739000000000004,0.0,,,
394032,DESDE 31 MIN. HASTA45MIN.  INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,10.2,10.2,0,68.34,68.34,0.0,,,
394043,DESDE 46 MIN. HASTA 60 MIN- 1 HORA.  INST.  PRIMER Y SEGUNDO NIVEL,13.06,13.06,0,87.50200000000001,87.50200000000001,0.0,,,
394054,DESDE 61 MIN. HASTA90 MIN. 1 1/2 HORA.  INST... PRIMER Y SEGUNDO NIVEL,19.59,19.59,0,131.25300000000001,131.25300000000001,0.0,,,
394065,DESDE 91 MIN. HASTA120 MIN 2 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,26.13,26.13,0,175.071,175.071,0.0,,,
394076,DESDE 121 MIN. HASTA150 MIN. 2 1/2 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,29.69,29.69,0,198.923,198.923,0.0,,,
394087,DESDE 151 MIN. HASTA180 MIN. 3 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,35.62,35.62,0,238.654,238.654,0.0,,,
394098,DESDE 181 MIN. HASTA210 MIN. 3 1/2 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,41.56,41.56,0,278.452,278.452,0.0,,,
394109,DESDE 211 MIN. HASTA240 MIN. 4 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,47.5,47.5,0,318.25,318.25,0.0,,,
394110,DESDE 241 MIN. HASTA270 MIN. 4 1/2 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,53.44,53.44,0,358.048,358.048,0.0,,,
394121,DESDE 271 MIN. HASTA300 MIN. 5 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,59.37,59.37,0,397.779,397.779,0.0,,,
394132,DESDE 301 MIN. HASTA330 MIN. 5 1/2 HORAS.  INSt. PRIMER Y SEGUNDO NIVEL,65.31,65.31,0,437.57700000000006,437.57700000000006,0.0,,,
394143,DESDE 331 MIN. HASTA360 MIN. 6 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,71.25,71.25,0,477.375,477.375,0.0,,,
394154,DESDE 361 MIN. HASTA390 MIN. 6 1/2 HORAS.  INST. PRIMER Y SEGUNDO NIVEL,77.18,77.18,0,517.1060000000001,517.1060000000001,0.0,,,
394165,DESDE 391 MIN. HASTA420 MIN.  INST. PRIMER Y SEGUNDO NIVEL,78.19,78.19,0,523.873,523.873,0.0,,,
394200,HASTA15MIN. INSTITUCIONES DE TERCER NIVEL,0,0,8.76,0.0,0.0,58.692,,,
394211,DESDE 16 MIN. HASTA30MIN.   INSTITUCIONES DE TERCER NIVEL ,0,0,11.44,0.0,0.0,76.648,,,
394222,DESDE 31 MIN. HASTA45MIN.  INSTITUCIONES DE TERCER NIVEL,0,0,14.28,0.0,0.0,95.676,,,
394233,DESDE 46 MIN. HASTA60 MIN 1 HORA.  INSTITUCIONES DE TERCER NIVEL ,0,0,18.28,0.0,0.0,122.47600000000001,,,
394244,DESDE 61 MIN. HASTA90 MIN. 1 1/2 HORA.  INSTITUCIONES DE TERCER NIVEL,0,0,27.43,0.0,0.0,183.781,,,
394255,DESDE 91 MIN. HASTA120 MIN 2 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,36.58,0.0,0.0,245.08599999999998,,,
394266,DESDE 121 MIN. HASTA150 MIN. 2 1/2 HORAS.  INSTITUCIONES DE TERCER NIVEL ,0,0,41.56,0.0,0.0,278.452,,,
394277,DESDE 151 MIN. HASTA180 MIN. 3 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,49.87,0.0,0.0,334.129,,,
394288,DESDE 181 MIN. HASTA210 MIN. 3 1/2 HORAS.  INSTITUCIONES TERCER NIVEL,0,0,58.18,0.0,0.0,389.806,,,
394299,DESDE 211 MIN. HASTA240 MIN. 4 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,66.5,0.0,0.0,445.55,,,
394301,DESDE 241 MIN. HASTA270 MIN. 4 1/2 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,74.81,0.0,0.0,501.22700000000003,,,
394312,DESDE 271 MIN. HASTA300 MIN. 5 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,83.11,0.0,0.0,556.837,,,
394323,DESDE 301 MIN. HASTA330 MIN. 5 1/2 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,91.43,0.0,0.0,612.581,,,
394333,DESDE 331 MIN. HASTA360 MIN. 6 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,99.75,0.0,0.0,668.325,,,
394344,DESDE 361 MIN. HASTA390 MIN. 6 1/2 HORAS.  INSTITUCIONES DE TERCER NIVEL,0,0,108.05,0.0,0.0,723.935,,,
394355,391 MIN. HASTA420 MIN.  INSTITUCIONES DE TERCER NIVEL,0,0,109.46,0.0,0.0,733.382,,,
396010,HASTA15MIN. INSTITUCIONES PRIMER Y SEGUNDO NIVEL,2.28,2.28,0,15.276,15.276,0.0,,,
396021,DESDE 16 MIN. HASTA30MIN. INST. PRIMER Y SEGUNDO NIVEL ,2.4,2.4,0,16.08,16.08,0.0,,,
396032,DESDE 31 MIN. HASTA45MIN. INST. PRIMER Y SEGUNDO NIVEL,2.51,2.51,0,16.817,16.817,0.0,,,
396043, DESDE 46 MIN. HASTA60 MIN 1 HORA. INST. PRIMER Y SEGUNDO NIVEL,2.63,2.63,0,17.621,17.621,0.0,,,
396054, DESDE 61 MIN. HASTA90 MIN. 1 1/2 HORA. INST. PRIMER Y SEGUNDO NIVEL,2.9,2.9,0,19.43,19.43,0.0,,,
396065,DESDE 91 MIN. HASTA120 MIN 2 HORAS. INST. PRIMER Y SEGUNDO NIVEL,3.05,3.05,0,20.435,20.435,0.0,,,
396076,  DESDE 121 MIN. HASTA150 MIN. 2 1/2 HORAS. INST. PRIMER Y SEGUNDO NIVEL,3.37,3.37,0,22.579,22.579,0.0,,,
396087, DESDE 151 MIN. HASTA180 MIN. 3 HORAS. INST. PRIMER Y SEGUNDO NIVEL,3.7,3.7,0,24.790000000000003,24.790000000000003,0.0,,,
396098,DESDE 181 MIN. HASTA210 MIN. 3 1/2 HORAS. INST. PRIMER Y SEGUNDO NIVEL,4.07,4.07,0,27.269000000000002,27.269000000000002,0.0,,,
396109,DESDE 211 MIN. HASTA240 MIN. 4 HORAS. INST. PRIMER Y SEGUNDO NIVEL,4.48,4.48,0,30.016000000000005,30.016000000000005,0.0,,,
396110,DESDE 241 MIN. HASTA270 MIN. 4 1/2 HORAS. INST.PRIMER Y SEGUNDO NIVEL ,4.93,4.93,0,33.031,33.031,0.0,,,
396121,DESDE 271 MIN. HASTA300 MIN. 5 HORAS. INST. PRIMER Y SEGUNDO NIVEL ,5.43,5.43,0,36.381,36.381,0.0,,,
396132,DESDE 301 MIN. HASTA330 MIN. 5 1/2 HORAS. INST.PRIMER Y SEGUNDO NIVEL ,5.97,5.97,0,39.999,39.999,0.0,,,
396143,DESDE 331 MIN. HASTA360 MIN. 6 HORAS. INST. PRIMER Y SEGUNDO NIVEL ,6.57,6.57,0,44.019000000000005,44.019000000000005,0.0,,,
396154,DESDE 361 MIN. HASTA390 MIN. 6 1/2 HORAS. INST. PRIMER Y SEGUNDO NIVEL ,7.22,7.22,0,48.374,48.374,0.0,,,
396165,DESDE 391 MIN. HASTA420 MIN. INST. PRIMER Y SEGUNDO NIVEL ,7.95,7.95,0,53.265,53.265,0.0,,,
396210,HASTA15MIN. INSTITUCIONES TERCER NIVEL ,0,0,2.96,0.0,0.0,19.832,,,
396221,DESDE 16 MIN. HASTA30MIN. INSTITUCIONES TERCER NIVEL ,0,0,3.11,0.0,0.0,20.837,,,
396232,DESDE 31 MIN. HASTA45MIN. INSTITUCIONES TERCER NIVEL ,0,0,3.26,0.0,0.0,21.842,,,
396243,DESDE 46 MIN. HASTA60 MIN 1 HORA. INSTITUCIONES TERCER NIVEL ,0,0,3.42,0.0,0.0,22.914,,,
396254,DESDE 61 MIN. HASTA90 MIN. 1 1/2 HORA. INSTITUCIONES TERCER NIVEL ,0,0,3.77,0.0,0.0,25.259,,,
396265,DESDE 91 MIN. HASTA120 MIN 2 HORAS. INSTITUCIONES TERCER NIVEL ,0,0,3.97,0.0,0.0,26.599000000000004,,,
396276,DESDE 121 MIN. HASTA150 MIN. 2 1/2 HORAS. INST. TERCER NIVEL ,0,0,4.38,0.0,0.0,29.346,,,
396287,DESDE 151 MIN. HASTA180 MIN. 3 HORAS.INSTITUCIONES TERCER NIVEL ,0,0,4.81,0.0,0.0,32.227,,,
396298,DESDE 181 MIN. HASTA210 MIN. 3 1/2 HORAS. INST. TERCER NIVEL ,0,0,5.29,0.0,0.0,35.443,,,
396309,DESDE 211 MIN. HASTA240 MIN. 4 HORAS. INSTITUCIONES TERCER NIVEL ,0,0,5.82,0.0,0.0,38.994,,,
396310,DESDE 241 MIN. HASTA270 MIN. 4 1/2 HORAS.INST. TERCER NIVEL ,0,0,6.41,0.0,0.0,42.947,,,
396321,DESDE 271 MIN. HASTA300 MIN. 5 HORAS. INSTITUCIONES TERCER NIVEL ,0,0,7.06,0.0,0.0,47.302,,,
396332,DESDE 301 MIN. HASTA330 MIN. 5 1/2 HORAS.INST. TERCER NIVEL ,0,0,7.76,0.0,0.0,51.992,,,
396343,DESDE 331 MIN. HASTA360 MIN. 6 HORAS. INSTITUCIONES TERCER NIVEL ,0,0,8.54,0.0,0.0,57.217999999999996,,,
396354,DESDE 361 MIN. HASTA390 MIN. 6 1/2 HORAS. INST. TERCER NIVEL ,0,0,9.39,0.0,0.0,62.913000000000004,,,
396365,DESDE 391 MIN. HASTA420 MIN. INSTITUCIONES TERCER NIVEL ,0,0,10.34,0.0,0.0,69.278,,,
900001,ASPIRADOR ULTRASÓNICO,0,0,20,0.0,0.0,134.0,,,
900002,NAVEGADOR ORTHO PILOT,0,0,20,0.0,0.0,134.0,,,
900004,GREEN LASER (LASER UROLÓGICO),0,0,20,0.0,0.0,134.0,,,
900005,BOMBA DE CORAZÓN-CIRCULACIÓN EXTRACORPÓREA,0,0,20,0.0,0.0,134.0,,,
900006,EQUIPO-CIRUGÍA ESTEREOTÁXICA,0,0,20,0.0,0.0,134.0,,,
900007,CONSOLA (BOMBA) DE CONTRAPULSACIÓN,0,0,20,0.0,0.0,134.0,,,
900008,EXCIMER LÁSER,0,0,20,0.0,0.0,134.0,,,
900009,LITROTRIPTOR INTRACORPOREO,0,0,20,0.0,0.0,134.0,,,
900010,UTILIZACIÓN COOL-TIP,0,0,20,0.0,0.0,134.0,,,
900011,ESTREVOSCOPIO LARINGEO Y COMPUTADORA DE REHABILITACIÓN DE VOZ,0,0,20,0.0,0.0,134.0,,,
900012,TOMÓGRAFO PARA OTORRINOLARINGOLOGÍA EN POSICIÓN VERTICAL O SENTADO,0,0,20,0.0,0.0,134.0,,,
900013,NEUROENDOSCOPIO,0,0,20,0.0,0.0,134.0,,,
900014,"ULTRAINSICIÓN,",0,0,20,0.0,0.0,134.0,,,
900015,RICS Y PACS EN IMAGEN  (VOZ-TELETRANSPORTACIÓN DE IMÁGENES),0,0,20,0.0,0.0,134.0,,,
800010,USO BISTURÍ ARMÓNICO,0,15,15,0.0,100.5,100.5,,,
800006,MEDIASTINOSCOPIO,0,15,15,0.0,100.5,100.5,,,
800007,ULTRASONIDO ENDOSCÓPICO,0,15,15,0.0,100.5,100.5,,,
800001,BALÓN PARA ACALASIA,0,15,15,0.0,100.5,100.5,,,
800012,USO EQUIPO GET PROBE MÁS USO DE SONDA TÉRMICA,0,15,15,0.0,100.5,100.5,,,
800014,USO MICROSCOPICO QUIRURGICO-MICROCIRUGÍA,0,15,15,0.0,100.5,100.5,,,
800013,USO LASER PIEL,0,15,15,0.0,100.5,100.5,,,
800005,EQUIPO LÁSER (EJEMPLO: APLICACIÓN ENDOVASCULAR),0,15,15,0.0,100.5,100.5,,,
800004,EQUIPO INTACS (OFTALMOLOGÍA),0,15,15,0.0,100.5,100.5,,,
800003,EQUIPO CROSS LINKING (OFTALMOLOGÍA),0,15,15,0.0,100.5,100.5,,,
800016,VITRECTOR,0,15,15,0.0,100.5,100.5,,,
800009,URETEROSCOPIO CON CALCUSPLIT,0,15,15,0.0,100.5,100.5,,,
800008,URETEROSCOPIO  ,0,15,15,0.0,100.5,100.5,,,
800015,USO VITREOFAGO DORC,0,15,15,0.0,100.5,100.5,,,
800011,USO ENDOLASER HGM,0,15,15,0.0,100.5,100.5,,,
800017,YANG LÁSER,0,15,15,0.0,100.5,100.5,,,
700033,USO EQUIPO PILLCAM,0,10,10,0.0,67.0,67.0,,,
700035,USO MONITOR GASTO CARDÍACO INVASIVO O MINIMAMENTE INVÁSICO,0,10,10,0.0,67.0,67.0,,,
700021,"MONITOREO DE PIC, SOLO SI ES EQUIPO APARTE DE MONITOR",0,10,10,0.0,67.0,67.0,,,
700034,USO MICROENDOSCOPIO,0,10,10,0.0,67.0,67.0,,,
700009,EQUIPO DE CRIOAPLICACIÓN,0,10,10,0.0,67.0,67.0,,,
700003,BOMBA IRRIGACIÓN / ASPIRACIÓN,0,10,10,0.0,67.0,67.0,,,
700004,COCHE DE PARO-REANIMACIÓN CARDIOPULMONAR SOLO SI NO ES EN UCI O EMERGENCIA,0,10,10,0.0,67.0,67.0,,,
700006,CRANEOTOMO,0,10,10,0.0,67.0,67.0,,,
700031,USO EQ.ARTHRO CARE,0,10,10,0.0,67.0,67.0,,,
700019,MICROFRESADOR,0,10,10,0.0,67.0,67.0,,,
700037,VIDEO COLEDOCOSCOPIO,0,10,10,0.0,67.0,67.0,,,
700008,ELECTROCAUTERIO DE ARGON,0,10,10,0.0,67.0,67.0,,,
700015,FIBROSCOPIO ADULTO,0,10,10,0.0,67.0,67.0,,,
700013,EQUIPO MORCELADOR,0,10,10,0.0,67.0,67.0,,,
700025,PANTALLA INST.CIRUG UROLOG LAS,0,10,10,0.0,67.0,67.0,,,
700030,USO ENDOLÁSER HGM,0,10,10,0.0,67.0,67.0,,,
700032,USO EQUIPO MAXILOFACIAL ,0,10,10,0.0,67.0,67.0,,,
700024,MOTOR SHEAVER,0,10,10,0.0,67.0,67.0,,,
700005,COLANG.+EXTRACC.DE CAL.BILIAR,0,10,10,0.0,67.0,67.0,,,
700029,USO DILATADOR SAVARY,0,10,10,0.0,67.0,67.0,,,
700012,EQUIPO ECOENDOSCOPIO,0,10,10,0.0,67.0,67.0,,,
700001,BICAP,0,10,10,0.0,67.0,67.0,,,
700026,PAPILOTOMO DASH,0,10,10,0.0,67.0,67.0,,,
700007,DERMATOMO PABEGET,0,10,10,0.0,67.0,67.0,,,
700017,"LIPOSUCCIONADOR, EXCLUYE CIRUGÍA ESTÉTICA",0,10,10,0.0,67.0,67.0,,,
700018,LUMINOTERAPIA SI APARTE DE TERMOCUNA,0,10,10,0.0,67.0,67.0,,,
700002,BOMBA INYECCIÓN ACEITE SILICON (OFTALMOLOGÍA),0,10,10,0.0,67.0,67.0,,,
700027,SISTEMA VISUALIZACIÓN (OFTALMOLOGÍA),0,10,10,0.0,67.0,67.0,,,
700014,EQUIPO RADIOFRECUENCIA ,0,10,10,0.0,67.0,67.0,,,
700020,MICROMOTOR ELÉCTRICO,0,10,10,0.0,67.0,67.0,,,
700023,MOTOR ACULAN,0,10,10,0.0,67.0,67.0,,,
700011,EQUIPO DE PHMETRIA,0,10,10,0.0,67.0,67.0,,,
700010,EQUIPO DE MANOMETRIA,0,10,10,0.0,67.0,67.0,,,
700016,INTENSIFICADOR DE IMAGENES ,0,10,10,0.0,67.0,67.0,,,
600011,TORNIQUETE NEUMÁTICO ,0,5,5,0.0,33.5,33.5,,,
600012,VIDEO ENDOSCOPIO DIGESTIVO ALTO,0,5,5,0.0,33.5,33.5,,,
600002,COLONOSCOPIO/SIGMOIDEOSCOPIO RIGIDO O FLEXIBLE/ANOSCOPIO,0,5,5,0.0,33.5,33.5,,,
600003,EQUIPO DILATACIÓN ESOFAGICA,0,5,5,0.0,33.5,33.5,,,
600008,PINZA EXTRACCIÓN CUERPO EXTRANO-VÍA ENDOSCÓPICA,0,5,5,0.0,33.5,33.5,,,
600010,PINZA POLIPECTOMIA GÁSTRICA,0,5,5,0.0,33.5,33.5,,,
600009,PINZA POLIPECTOMIA COLÓNICA,0,5,5,0.0,33.5,33.5,,,
600005,BRONCOSCOPIO,0,5,5,0.0,33.5,33.5,,,
600001,CISTOSCOPIO,0,5,5,0.0,33.5,33.5,,,
600007,HISTEROSCOPIO,0,5,5,0.0,33.5,33.5,,,
395151,DERECHOS DE SALA . INST. PRIMER NIVEL,5,0,0,33.5,0.0,0.0,,,
395162,DERECHOS DE SALA INST. SEGUNDO NIVEL,0,7,0,0.0,46.9,0.0,,,
395173,DERECHOS DE SALAS . INST. TERCER NIVEL,0,0,10,0.0,0.0,67.0,,,
395181,DERECHOS DE SALA PARA PROCEDIMIENTOS DE ALTA COMPLEJIDAD,0,0,0,0.0,0.0,549.4,,,
395261,SALA DE RECUPERACION.  INSTITUCIONES PRIMER NIVEL ,2.5,0,0,16.75,0.0,0.0,,,
395272,SALA DE RECUPERACION. INSTITUCIONES SEGUNDO NIVEL ,0,4,0,0.0,26.8,0.0,,,
395281,SALA DE RECUPERACION .   INSTITUCIONES TERCER NIVEL ,0,0,6,0.0,0.0,40.2,,,
395301,INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,16.95,16.95,0,113.565,113.565,0.0,,,
395312,INSTITUCIONES DE TERCER NIVEL,0,0,20,0.0,0.0,134.0,,,
383510,TERMOCUNA INSTITUCIONES PRIMER NIVEL ,4.27,0,0,28.608999999999998,0.0,0.0,,,
383521,TERMOCUNA INSTITUCIONES SEGUNDO NIVEL ,0,4.7,0,0.0,31.490000000000002,0.0,,,
383532,TERMOCUNA INSTITUCIONES TERCER NIVEL ,0,0,5.17,0.0,0.0,34.639,,,
383550,ALOJAMIENTO CONJUNTO. INSTITUCIONES PRIMER Y SEGUNDO NIVEL ,1.84,1.84,0,12.328000000000001,12.328000000000001,0.0,,,
383560,ALOJAMIENTO CONJUNTO. INSTITUCIONES TERCER NIVEL ,0,0,1.84,0.0,0.0,12.328000000000001,,,
383810,"PERMANENCIA DIURNA PARA TRATAMIENTO Y/O CIRUGÍAS AMBULATORIAS  DEL PACIENTE, EXCEPTO LA PERNOCTADA INSTITUCIONES DE II NIVEL",0,4,0,0.0,26.8,0.0,,,
383821,"PERMANENCIA DIURNA PARA TRATAMIENTO AMBULATORIO Y/O CIRUGÍAS AMBULATORIAS  DEL PACIENTE, EXCEPTO LA PERNOCTADA INSTITUCIONES DE III NIVEL",0,0,6,0.0,0.0,40.2,,,
395401,"SALA DE YESOS, SI HAY ESPACIO ESPECÍFICO",2.32,2.32,2.32,15.543999999999999,15.543999999999999,15.543999999999999,,,
395452,"SALA PARA SUTURAS, SI HAY ESPACIO ESPECÍIFICO",1.64,1.64,1.64,10.988,10.988,10.988,,,
395503,"SALA PARA CURACIONES, SI HAY ESPACIO ESPECÍIFICO ",1,1,1,6.7,6.7,6.7,,,
394654,instituciones de segundo nivel,0,4.24,0,0.0,28.408,0.0,,,
394664,instituciones de tercer nivel,0,0,7.84,0.0,0.0,52.528,,,
395655, INSTITUCIONES  SEGUNDO NIVEL,0,3.15,0,0.0,21.105,0.0,,,
395667,INSTITUCIONES DE TERCER NIVEL," 0,00"," 0,00",4.6,,,30.819999999999997,,,
395551,CONTROL DE PRESIÓN ARTERIAL,0.08,0.08,0.08,0.536,0.536,0.536,,,
395562,CONTROL DE SIGNOS VITALES,0.2,0.2,0.2,1.34,1.34,1.34,,,
395573,CONTROL  PESO Y TALLA,0.08,0.08,0.08,0.536,0.536,0.536,,,
395584,INYECCIÓN INTRAMUSCULAR,0.11,0.11,0.11,0.737,0.737,0.737,,,
395595,INYECCIÓN INTRAVENOSA,0.14,0.14,0.14,0.9380000000000002,0.9380000000000002,0.9380000000000002,,,
395606,CONTROL DE GLUCOSA CON TIRILLA,0.12,0.12,0.12,0.8039999999999999,0.8039999999999999,0.8039999999999999,,,
395607,CAMBIO SONDA VESICAL,0.42,0.42,0.42,2.814,2.814,2.814,,,
395608,RETIRO DE PUNTOS,0.34,0.34,0.34,2.278,2.278,2.278,,,
395609,RETIRO DE YESO,0.51,0.51,0.51,3.4170000000000003,3.4170000000000003,3.4170000000000003,,,
395601,ADMINISTRACIÓN DE SOLUCIONES INTRAVENOSAS,0.12,0.12,0.12,0.8039999999999999,0.8039999999999999,0.8039999999999999,,,
395602,"PRUEBA DE SENSIBILIZACIÓN RÁPIDA PARA PENICILINA, INSULINA",0.11,0.11,0.11,0.737,0.737,0.737,,,
395603,INYECCIONES SUBCUTÁNEAS,0.11,0.11,0.11,0.737,0.737,0.737,,,
397050,Vehículo (moto o auto)  recorrido sea  dentro de su área de influencia:,0.14,0.14,0.14,0.9380000000000002,0.9380000000000002,0.9380000000000002,,,
,"En área urbana, suburbana y/o rural. Tarifa plana : 0,14 x Km.",,,,,,,,,
397050,Punto arranque,2.61,2.61,2.61,17.487,17.487,17.487,,,
397061,"Ambulancia cuyo recorridos es superior  a lo establecido dentro del área  geográfica, fuera del  área de influencia POR KM recorrido de ida y vuelta- Tarifa plana: 0,17",0.17,0.17,0.17,1.139,1.139,1.139,,,
397256,Punto de arranque,3.24,3.24,3.24,21.708000000000002,21.708000000000002,21.708000000000002,,,
397267,"Ambulancia pago por km recorrido de  ida y vuelta, más de  20 Km",0.22,0.22,0.22,1.474,1.474,1.474,,,
397270,Transporte Aérea : transporte o ambulancia- hora de vuelo ida y vuelta,30% del valor del mercado,,,,0.0,0.0,,,
397271,Transporte Acuático: transporte o ambulancia- kilometraje ida y vuelta,30% del valor  del mercado,,,,0.0,0.0,,,
